Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.10826745614035073,0.1085990524688856,0.0145878710456217,0.153083210524576,10
balance.3,0.06582087719298224,0.08006892827896278,0.013042365790553097,0.1455284315789437,10
breast-cancer,0.044080263157894296,0.057588254941356,0.019280892102917852,0.2263372657900235,10
cmc.1,0.2732162280701754,0.2075050818000757,0.022957552633383067,0.2419228210530587,10
cmc.2,0.342197807017544,0.3199353808304485,0.021751205262262374,0.24044032105839028,10
cmc.3,0.25964780701754386,0.234784319928845,0.022734215786361967,0.25388220262768874,10
ctg.1,0.12673517543859622,0.09301218712713229,0.014266534209079845,0.1483566921026642,10
ctg.2,0.14322842105263178,0.17425679746338518,0.015032644742045943,0.1677869973661329,10
ctg.3,0.09702973684210535,0.2650363435860843,0.022784465795235808,0.22213153158296145,10
german,0.3513722807017546,0.31516758881622203,0.02135103158223884,0.2273702394725804,10
haberman,0.3220121929824562,0.3699355755076884,0.018758047367507396,0.20199352631339265,10
ionosphere,0.06056877192982441,0.058050088006912956,0.01272476052307818,0.13848176842408352,10
iris.2,0.04924219298245604,0.06637826210910723,0.011260405262491028,0.12072736053041329,10
iris.3,0.035896315789473554,0.06655200426109326,0.014414813165785745,0.1527491684154436,10
mammographic,0.13640236842105236,0.16718854219030557,0.014715310527734752,0.13736032104995838,10
pageblocks.5,0.20904280701754402,0.14356058937982877,0.01545286052982862,0.15508045263337217,10
semeion,0.1594235964912282,0.13036378472020668,0.021878513152171906,0.2230382105274322,10
sonar,0.27473149122807017,0.21579167932222135,0.01907165263056461,0.21174271579213,10
spambase,0.07676377192982446,0.047925814718055626,0.019834365786090002,0.22223824210998014,10
spectf,0.2337483333333332,0.3600862269307809,0.01947373158059475,0.18023772105133454,10
tictactoe,0.10733350877193,0.056244199980573006,0.014127397367510161,0.15096463421114573,10
transfusion,0.3192553508771929,0.3061987595909213,0.014435971059260498,0.1583782052636563,10
wdbc,0.06320859649122822,0.07043972490552221,0.013538228937633042,0.14736733684702286,10
wine.1,0.040443508771929794,0.046829526540592456,0.013530892105528006,0.14405485000277526,10
wine.2,0.05153780701754361,0.053804286509758825,0.015579068425148236,0.17055965263065637,10
wine.3,0.03904657894736861,0.1113901647334873,0.01974175526533815,0.20649677105738143,10
wine-q-red,0.15434570175438603,0.14048166254870328,0.0191965473702447,0.20986837631483612,10
wine-q-white,0.2100184210526316,0.19068911188378349,0.0194834473613331,0.23157357631441156,10
yeast,0.3211611403508771,0.2961609545304118,0.014580084210090143,0.15687762894882135,10
